,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2018-12-11,,0.37652745,,,,
1,2018-12-12,,0.26212457,,,,
2,2018-12-13,,0.22522144,,,,
3,2018-12-14,,0.19319961,,,,
4,2018-12-17,,0.17076173,,,,
5,2018-12-18,,0.15373633,,,,
6,2018-12-19,,0.14021533,,,,
7,2018-12-20,,0.13795008,,,,
8,2018-12-21,,0.21371876,,,,
9,2018-12-24,,0.21938905,,,,
10,2018-12-25,,0.26467785,,,,
11,2018-12-26,,0.25006965,,,,
12,2018-12-27,,0.23669111,,,,
13,2018-12-28,,0.22405886,,,,
14,2019-01-02,,0.22774976,,,,
15,2019-01-03,,0.22865964,,,,
16,2019-01-04,,0.21907973,,,,
17,2019-01-07,,0.2097575,,,,
18,2019-01-08,,0.20622552,,,,
19,2019-01-09,,0.20091806,,,,
20,2019-01-10,,0.19427298,,,,
21,2019-01-11,0.18982252,0.18754018,0.21112729,,0.21830208,
22,2019-01-14,0.17995152,0.18135742,0.20290725,0.20980319,0.20955016,0.28077332
23,2019-01-15,0.19016546,0.18648974,0.20485458,0.21004025,0.20941681,0.28022213
24,2019-01-16,0.18654213,0.17924762,0.19605357,0.19883862,0.19988935,0.27455427
25,2019-01-17,0.18822761,0.18130383,0.19567543,0.19653621,0.19880216,0.27158581
26,2019-01-18,0.1874253,0.17445167,0.19536655,0.19615753,0.19851244,0.27188896
27,2019-01-21,0.20700944,0.19366634,0.20112456,0.19856034,0.2055685,0.28118722
28,2019-01-22,0.20731859,0.18654985,0.21237782,0.21419919,0.23347537,0.29851767
29,2019-01-23,0.20664425,0.18070441,0.21200036,0.21412185,0.23398599,0.2998615
30,2019-01-24,0.18487105,0.17434051,0.19103455,0.19436343,0.21338648,0.28111555
31,2019-01-25,0.17760884,0.16835149,0.19188598,0.19834923,0.21549571,0.27599655
32,2019-01-28,0.14887879,0.16809609,0.19075536,0.20559784,0.21162265,0.25501183
33,2019-01-29,0.14894586,0.16326399,0.18817761,0.20225989,0.20990978,0.25496947
34,2019-01-30,0.15187432,0.16259512,0.16539261,0.17139815,0.19361828,0.22287267
35,2019-01-31,0.15814909,0.16693036,0.16412263,0.16722105,0.19062647,0.21810209
36,2019-02-01,0.1467862,0.16464155,0.16224456,0.16732431,0.18937505,0.21633964
37,2019-02-11,0.15621428,0.17672639,0.16197707,0.16523913,0.18688133,0.21388624
38,2019-02-12,0.15564004,0.17097473,0.1592759,0.16182125,0.18342407,0.21118349
39,2019-02-13,0.16273051,0.17462742,0.15917723,0.15922929,0.18289519,0.2128635
40,2019-02-14,0.15832375,0.16891416,0.15573447,0.15593924,0.18091895,0.21027518
41,2019-02-15,0.15845314,0.16616813,0.15673557,0.15747054,0.18102195,0.20728224
42,2019-02-18,0.16900769,0.17658052,0.16490555,0.16475462,0.18362106,0.21140956
43,2019-02-19,0.16902723,0.17193487,0.16489275,0.16473006,0.18473341,0.21376696
44,2019-02-20,0.16793391,0.16649064,0.16246517,0.16164991,0.1817746,0.21079865
45,2019-02-21,0.16631267,0.17004362,0.1589977,0.15739873,0.18107105,0.21194618
46,2019-02-22,0.16693113,0.1651831,0.15918468,0.15748097,0.18118685,0.21103188
47,2019-02-25,0.16131266,0.15992201,0.15901733,0.15954605,0.18228136,0.21111269
48,2019-02-26,0.16207761,0.15578528,0.16078867,0.16172007,0.18246362,0.21180675
49,2019-02-27,0.14124415,0.1508168,0.15280828,0.15782161,0.17408107,0.19866541
50,2019-02-28,0.14227453,0.14695911,0.13548407,0.13381379,0.1340897,0.1689561
51,2019-03-01,0.16122147,0.16706439,0.14049198,0.13330038,0.1343259,0.17083941
52,2019-03-04,0.16535279,0.16804296,0.15028231,0.14541947,0.14695208,0.18416952
53,2019-03-05,0.1656859,0.16323614,0.14718845,0.14085537,0.14213617,0.18129733
54,2019-03-06,0.17082599,0.17411421,0.15077685,0.14248291,0.14344239,0.18234769
55,2019-03-07,0.18263338,0.18283381,0.15614512,0.14582955,0.14707407,0.18239287
56,2019-03-08,0.18254306,0.17929318,0.15594865,0.14617522,0.14674767,0.18670592
57,2019-03-11,0.17785641,0.17517077,0.15788369,0.15129822,0.14892333,0.18696436
