,symbol,start_date,end_date
670,IH1707,2017-06-16,2017-07-21
671,IH1708,2017-07-24,2017-08-16
672,IH1709,2017-08-17,2017-09-15
673,IH1710,2017-09-18,2017-10-20
674,IH1711,2017-10-23,2017-11-15
675,IH1712,2017-11-16,2017-12-15
676,IH1801,2017-12-18,2018-01-19
677,IH1802,2018-01-22,2018-02-13
678,IH1803,2018-02-14,2018-03-16
679,IH1804,2018-03-19,2018-04-20
680,IH1805,2018-04-23,2018-05-17
681,IH1806,2018-05-18,2018-06-15
682,IH1807,2018-06-19,2018-07-20
683,IH1808,2018-07-23,2018-08-16
684,IH1809,2018-08-17,2018-09-21
685,IH1810,2018-09-25,2018-10-19
686,IH1811,2018-10-22,2018-11-15
687,IH1812,2018-11-16,2018-12-21
688,IH1901,2018-12-24,2019-01-18
689,IH1902,2019-01-21,2019-02-14
690,IH1903,2019-02-15,2019-03-15
691,IH1904,2019-03-18,2019-04-19
692,IH1905,2019-04-22,2019-05-16
693,IH1906,2019-05-17,2019-06-21
694,IH1907,2019-06-24,
695,T1509,2015-03-23,2015-08-13
696,T1512,2015-08-14,2015-11-13
697,T1603,2015-11-16,2016-02-04
698,T1606,2016-02-05,2016-05-05
699,T1609,2016-05-06,2016-08-09
700,T1612,2016-08-10,2016-11-09
701,T1703,2016-11-10,2017-01-18
702,T1706,2017-01-19,2017-05-09
703,T1709,2017-05-10,2017-08-08
704,T1712,2017-08-09,2017-11-09
705,T1803,2017-11-10,2018-02-07
706,T1806,2018-02-08,2018-05-17
707,T1809,2018-05-18,2018-08-14
708,T1812,2018-08-15,2018-11-14
709,T1903,2018-11-15,2019-02-20
710,T1906,2019-02-21,2019-05-20
711,T1909,2019-05-21,
712,PB1109,2011-03-25,2011-08-09
713,PB1110,2011-08-10,2011-09-22
714,PB1111,2011-09-23,2011-10-18
715,PB1112,2011-10-19,2011-11-17
716,PB1201,2011-11-18,2011-12-19
717,PB1202,2011-12-20,2012-01-10
718,PB1203,2012-01-11,2012-02-16
719,PB1204,2012-02-17,2012-03-13
720,PB1205,2012-03-14,2012-03-27
721,PB1206,2012-03-28,2012-04-27
722,PB1207,2012-05-02,2012-05-21
723,PB1208,2012-05-22,2012-06-29
724,PB1209,2012-07-02,2012-07-04
725,PB1210,2012-07-05,2012-09-18
726,PB1211,2012-09-19,2012-10-15
727,PB1212,2012-10-16,2012-11-12
728,PB1301,2012-11-13,2012-12-11
729,PB1302,2012-12-12,2013-01-15
730,PB1303,2013-01-16,2013-02-01
731,PB1304,2013-02-04,2013-03-05
732,PB1305,2013-03-06,2013-04-08
733,PB1306,2013-04-09,2013-05-28
734,PB1307,2013-05-29,2013-06-21
735,PB1309,2013-06-24,2013-09-16
736,PB1312,2013-09-17,2013-11-14
737,PB1401,2013-11-15,2013-12-20
738,PB1402,2013-12-23,2014-01-23
739,PB1403,2014-01-24,2014-02-18
740,PB1404,2014-02-19,2014-03-20
741,PB1405,2014-03-21,2014-05-15
742,PB1406,2014-05-16,2014-05-21
743,PB1407,2014-05-22,2014-06-05
744,PB1408,2014-06-06,2014-07-25
745,PB1410,2014-07-28,2014-09-17
746,PB1411,2014-09-18,2014-10-20
747,PB1412,2014-10-21,2014-10-30
748,PB1501,2014-10-31,2014-12-12
749,PB1502,2014-12-15,2015-01-05
750,PB1503,2015-01-06,2015-02-02
751,PB1504,2015-02-03,2015-03-05
752,PB1505,2015-03-06,2015-03-31
753,PB1506,2015-04-01,2015-05-07
754,PB1507,2015-05-08,2015-06-02
755,PB1508,2015-06-03,2015-07-09
756,PB1509,2015-07-10,2015-07-21
757,PB1510,2015-07-22,2015-09-07
758,PB1511,2015-09-08,2015-10-09
759,PB1512,2015-10-12,2015-11-10
760,PB1601,2015-11-11,2015-12-03
761,PB1602,2015-12-04,2016-01-12
762,PB1603,2016-01-13,2016-02-17
763,PB1604,2016-02-18,2016-03-08
764,PB1605,2016-03-09,2016-04-14
765,PB1606,2016-04-15,2016-05-09
766,PB1607,2016-05-10,2016-06-14
767,PB1608,2016-06-15,2016-07-07
768,PB1609,2016-07-08,2016-08-22
769,PB1610,2016-08-23,2016-09-20
770,PB1611,2016-09-21,2016-10-20
771,PB1612,2016-10-21,2016-11-08
772,PB1701,2016-11-09,2016-12-08
773,PB1702,2016-12-09,2017-01-16
774,PB1703,2017-01-17,2017-02-21
775,PB1704,2017-02-22,2017-03-16
776,PB1705,2017-03-17,2017-04-17
777,PB1706,2017-04-18,2017-05-23
778,PB1707,2017-05-24,2017-06-22
779,PB1708,2017-06-23,2017-07-21
780,PB1709,2017-07-24,2017-08-16
781,PB1710,2017-08-17,2017-09-18
782,PB1711,2017-09-19,2017-10-20
783,PB1712,2017-10-23,2017-11-16
784,PB1801,2017-11-17,2017-12-20
785,PB1802,2017-12-21,2018-01-17
786,PB1803,2018-01-18,2018-02-14
787,PB1804,2018-02-22,2018-03-14
788,PB1805,2018-03-15,2018-04-17
789,PB1806,2018-04-18,2018-05-22
790,PB1807,2018-05-23,2018-06-26
791,PB1808,2018-06-27,2018-07-23
792,PB1809,2018-07-24,2018-08-20
793,PB1810,2018-08-21,2018-09-19
794,PB1811,2018-09-20,2018-10-22
795,PB1812,2018-10-23,2018-11-15
796,PB1901,2018-11-16,2018-12-19
797,PB1902,2018-12-20,2019-01-22
798,PB1903,2019-01-23,2019-02-21
799,PB1904,2019-02-22,2019-03-19
800,PB1905,2019-03-20,2019-04-16
801,PB1906,2019-04-17,2019-05-22
802,PB1907,2019-05-23,2019-06-21
803,PB1908,2019-06-24,
804,RM1305,2012-12-31,2013-02-18
805,RM1309,2013-02-19,2013-05-27
806,RM1401,2013-05-28,2013-11-12
807,RM1405,2013-11-13,2014-01-29
808,RM1409,2014-01-30,2014-07-24
809,RM1501,2014-07-25,2014-11-12
810,RM1505,2014-11-13,2015-03-03
811,RM1509,2015-03-04,2015-07-24
812,RM1601,2015-07-27,2015-12-01
813,RM1605,2015-12-02,2016-03-14
814,RM1609,2016-03-15,2016-08-05
815,RM1701,2016-08-08,2016-11-28
816,RM1705,2016-11-29,2017-03-20
817,RM1709,2017-03-21,2017-08-02
818,RM1801,2017-08-03,2017-12-06
819,RM1805,2017-12-07,2018-03-27
820,RM1809,2018-03-28,2018-07-26
821,RM1901,2018-07-27,2018-11-27
822,RM1905,2018-11-28,2019-04-01
823,RM1909,2019-04-02,
824,JM1309,2013-03-25,2013-07-01
825,JM1401,2013-07-02,2013-11-05
826,JM1405,2013-11-06,2014-03-13
827,JM1409,2014-03-14,2014-07-23
828,JM1501,2014-07-24,2014-11-18
829,JM1505,2014-11-19,2015-03-31
830,JM1509,2015-04-01,2015-08-10
831,JM1601,2015-08-11,2015-11-24
832,JM1605,2015-11-25,2016-03-31
833,JM1609,2016-04-01,2016-08-15
834,JM1701,2016-08-16,2016-11-30
835,JM1705,2016-12-01,2017-03-31
836,JM1709,2017-04-05,2017-08-04
837,JM1801,2017-08-07,2017-12-01
838,JM1805,2017-12-04,2018-04-11
839,JM1809,2018-04-12,2018-08-08
840,JM1901,2018-08-09,2018-12-12
841,JM1905,2018-12-13,2019-04-10
842,JM1909,2019-04-11,
843,ZC1401,2013-09-27,2013-11-08
844,ZC1405,2013-11-11,2014-03-25
845,ZC1409,2014-03-26,2014-08-01
846,ZC1501,2014-08-04,2014-12-26
847,ZC1505,2014-12-29,2015-04-03
848,ZC1509,2015-04-07,2015-05-18
849,ZC1605,2015-05-19,2016-04-07
850,ZC1609,2016-04-08,2016-08-16
851,ZC1701,2016-08-17,2016-12-06
852,ZC1705,2016-12-07,2017-04-19
853,ZC1709,2017-04-20,2017-08-10
854,ZC1801,2017-08-11,2017-12-20
855,ZC1805,2017-12-21,2018-04-13
856,ZC1809,2018-04-16,2018-08-09
857,ZC1901,2018-08-10,2018-12-06
858,ZC1905,2018-12-07,2019-04-19
859,ZC1909,2019-04-22,
860,PP1405,2014-03-03,2014-03-04
861,PP1409,2014-03-05,2014-07-30
862,PP1501,2014-07-31,2014-11-25
863,PP1505,2014-11-26,2015-03-18
864,PP1509,2015-03-19,2015-08-04
865,PP1601,2015-08-05,2015-11-25
866,PP1605,2015-11-26,2016-03-28
867,PP1609,2016-03-29,2016-08-11
868,PP1701,2016-08-12,2016-12-01
869,PP1705,2016-12-02,2017-04-11
870,PP1709,2017-04-12,2017-08-09
871,PP1801,2017-08-10,2017-12-01
872,PP1805,2017-12-04,2018-04-09
873,PP1809,2018-04-10,2018-08-07
874,PP1901,2018-08-08,2018-12-06
875,PP1905,2018-12-07,2019-04-08
876,PP1909,2019-04-09,
877,RU0503,2005-01-04,2005-02-18
878,RU0505,2005-02-21,2005-03-16
879,RU0506,2005-03-17,2005-04-11
880,RU0507,2005-04-12,2005-05-24
881,RU0508,2005-05-25,2005-06-20
882,RU0509,2005-06-21,2005-07-18
883,RU0510,2005-07-19,2005-08-16
884,RU0511,2005-08-17,2005-09-20
885,RU0601,2005-09-21,2005-10-19
886,RU0603,2005-10-20,2005-12-30
887,RU0604,2006-01-04,2006-02-13
888,RU0605,2006-02-14,2006-03-13
889,RU0606,2006-03-14,2006-03-30
890,RU0607,2006-03-31,2006-05-10
891,RU0608,2006-05-11,2006-06-09
892,RU0609,2006-06-12,2006-07-24
893,RU0610,2006-07-25,2006-08-30
894,RU0611,2006-08-31,2006-10-12
895,RU0701,2006-10-13,2006-11-22
896,RU0703,2006-11-23,2007-01-12
897,RU0705,2007-01-15,2007-03-20
898,RU0707,2007-03-21,2007-05-24
899,RU0709,2007-05-25,2007-07-18
900,RU0711,2007-07-19,2007-09-04
901,RU0801,2007-09-05,2007-11-19
902,RU0803,2007-11-20,2008-01-10
903,RU0805,2008-01-11,2008-03-03
904,RU0807,2008-03-04,2008-04-21
905,RU0809,2008-04-22,2008-07-31
906,RU0811,2008-08-01,2008-09-18
907,RU0901,2008-09-19,2008-11-10
908,RU0903,2008-11-11,2008-12-19
909,RU0905,2008-12-22,2009-02-27
910,RU0907,2009-03-02,2009-04-07
911,RU0909,2009-04-08,2009-06-18
912,RU0911,2009-06-19,2009-07-24
913,RU1001,2009-07-27,2009-11-12
914,RU1003,2009-11-13,2009-12-30
915,RU1005,2009-12-31,2010-03-02
916,RU1009,2010-03-03,2010-06-22
917,RU1011,2010-06-23,2010-07-30
918,RU1101,2010-08-02,2010-09-13
919,RU1103,2010-09-14,2010-10-26
920,RU1105,2010-10-27,2011-03-17
921,RU1109,2011-03-18,2011-07-05
922,RU1201,2011-07-06,2011-11-16
923,RU1205,2011-11-17,2012-04-06
924,RU1209,2012-04-09,2012-07-23
925,RU1301,2012-07-24,2012-11-02
926,RU1305,2012-11-05,2013-02-19
927,RU1309,2013-02-20,2013-06-28
928,RU1401,2013-07-01,2013-11-04
929,RU1405,2013-11-05,2014-02-28
930,RU1409,2014-03-03,2014-07-23
931,RU1501,2014-07-24,2014-11-21
932,RU1505,2014-11-24,2015-02-25
933,RU1509,2015-02-26,2015-07-16
934,RU1601,2015-07-17,2015-11-24
935,RU1605,2015-11-25,2016-03-17
936,RU1609,2016-03-18,2016-08-03
937,RU1701,2016-08-04,2016-11-21
938,RU1705,2016-11-22,2017-03-24
939,RU1709,2017-03-27,2017-08-02
940,RU1801,2017-08-03,2017-11-28
941,RU1805,2017-11-29,2018-03-29
942,RU1809,2018-03-30,2018-08-08
943,RU1901,2018-08-09,2018-11-30
944,RU1905,2018-12-03,2019-03-22
945,RU1909,2019-03-25,
946,P0805,2007-10-30,2008-04-18
947,P0809,2008-04-21,2008-08-07
948,P0901,2008-08-08,2008-11-27
949,P0905,2008-11-28,2009-03-04
950,P0909,2009-03-05,2009-06-09
951,P1001,2009-06-10,2009-08-10
952,P1005,2009-08-11,2009-11-27
953,P1009,2009-11-30,2010-04-28
954,P1101,2010-04-29,2010-09-08
955,P1105,2010-09-09,2010-11-05
956,P1109,2010-11-08,2011-04-12
957,P1201,2011-04-13,2011-07-19
958,P1205,2011-07-20,2012-01-16
959,P1209,2012-01-17,2012-06-06
960,P1301,2012-06-07,2012-10-22
961,P1305,2012-10-23,2013-02-05
962,P1309,2013-02-06,2013-06-14
963,P1401,2013-06-17,2013-10-30
964,P1405,2013-10-31,2014-02-26
965,P1409,2014-02-27,2014-06-16
966,P1501,2014-06-17,2014-11-06
967,P1505,2014-11-07,2015-03-05
968,P1509,2015-03-06,2015-06-04
969,P1601,2015-06-05,2015-11-27
970,P1605,2015-11-30,2016-03-15
971,P1609,2016-03-16,2016-07-06
972,P1701,2016-07-07,2016-11-23
973,P1705,2016-11-24,2017-03-09
974,P1709,2017-03-10,2017-07-05
975,P1801,2017-07-06,2017-11-20
976,P1805,2017-11-21,2018-03-21
977,P1809,2018-03-22,2018-07-20
978,P1901,2018-07-23,2018-12-03
979,P1905,2018-12-04,2019-04-10
980,P1909,2019-04-11,
981,B0505,2005-01-04,2005-03-25
982,B0507,2005-03-28,2005-05-26
983,B0509,2005-05-27,2005-09-05
984,B0601,2005-09-06,2005-10-13
985,B0605,2005-10-14,2005-10-19
986,B0609,2005-10-20,2006-09-14
987,B0701,2006-09-15,2006-10-30
988,B0705,2006-10-31,2007-02-02
989,B0709,2007-02-05,2007-05-29
990,B0801,2007-05-30,2007-07-04
991,B0805,2007-07-05,2007-10-30
992,B0807,2007-10-31,2007-11-12
993,B0809,2007-11-13,2008-03-28
994,B0901,2008-03-31,2008-10-13
995,B0905,2008-10-14,2009-01-15
996,B0909,2009-01-16,2009-04-20
997,B1001,2009-04-21,2009-05-13
998,B1003,2009-05-14,2009-07-09
999,B1005,2009-07-10,2009-09-11
1000,B1007,2009-09-14,2009-11-20
1001,B1009,2009-11-23,2010-02-04
1002,B1101,2010-02-05,2010-10-22
1003,B1105,2010-10-25,2010-11-15
1004,B1109,2010-11-16,2011-04-08
1005,B1201,2011-04-11,2011-06-17
1006,B1205,2011-06-20,2011-09-28
1007,B1209,2011-09-29,2012-04-27
1008,B1303,2012-05-02,2012-10-08
1009,B1305,2012-10-09,2013-03-29
1010,B1309,2013-04-01,2013-09-13
1011,B1401,2013-09-16,2013-12-20
1012,B1407,2013-12-23,2014-02-11
1013,B1409,2014-02-12,2014-09-15
1014,B1505,2014-09-16,2015-04-09
1015,B1509,2015-04-10,2015-09-16
1016,B1511,2015-09-17,2015-10-09
1017,B1601,2015-10-12,2015-11-20
1018,B1605,2015-11-23,2016-02-02
1019,B1701,2016-02-03,2016-04-14
1020,B1703,2016-04-15,2017-01-05
1021,B1705,2017-01-06,2017-03-15
1022,B1709,2017-03-16,2017-06-01
1023,B1805,2017-06-02,2018-02-14
1024,B1809,2018-02-22,2018-07-20
1025,B1901,2018-07-23,2018-08-31
1026,B1905,2018-09-03,2019-04-04
1027,B1906,2019-04-08,2019-05-07
1028,B1907,2019-05-08,2019-06-04
1029,B1908,2019-06-05,2019-07-01
1030,B1909,2019-07-02,
1031,SC1809,2018-03-27,2018-08-09
1032,SC1812,2018-08-10,2018-11-19
1033,SC1901,2018-11-20,2018-12-18
1034,SC1903,2018-12-19,2019-02-18
1035,SC1904,2019-02-19,2019-03-18
1036,SC1905,2019-03-19,2019-04-17
1037,SC1906,2019-04-18,2019-05-21
1038,SC1907,2019-05-22,2019-06-18
1039,SC1908,2019-06-19,
1040,J1109,2011-04-18,2011-08-22
1041,J1201,2011-08-23,2011-12-09
1042,J1205,2011-12-12,2012-04-16
1043,J1209,2012-04-17,2012-07-18
1044,J1301,2012-07-19,2012-10-25
1045,J1305,2012-10-26,2013-02-07
1046,J1309,2013-02-08,2013-06-21
1047,J1401,2013-06-24,2013-10-30
1048,J1405,2013-10-31,2014-03-11
1049,J1409,2014-03-12,2014-07-22
1050,J1501,2014-07-23,2014-11-25
1051,J1505,2014-11-26,2015-03-30
1052,J1509,2015-03-31,2015-08-11
1053,J1601,2015-08-12,2015-11-25
1054,J1605,2015-11-26,2016-03-25
1055,J1609,2016-03-28,2016-08-16
1056,J1701,2016-08-17,2016-12-02
1057,J1705,2016-12-05,2017-03-31
1058,J1709,2017-04-05,2017-08-03
1059,J1801,2017-08-04,2017-11-29
1060,J1805,2017-11-30,2018-04-11
1061,J1809,2018-04-12,2018-08-08
1062,J1901,2018-08-09,2018-12-06
1063,J1905,2018-12-07,2019-04-08
1064,J1909,2019-04-09,
1065,AP1805,2017-12-25,2018-04-12
1066,AP1810,2018-04-13,2018-07-12
1067,AP1901,2018-07-13,2018-11-08
1068,AP1905,2018-11-09,2019-04-15
1069,AP1910,2019-04-16,
1070,ZN0707,2007-03-27,2007-06-06
1071,ZN0708,2007-06-07,2007-06-29
1072,ZN0709,2007-07-02,2007-08-01
1073,ZN0710,2007-08-02,2007-08-29
1074,ZN0711,2007-08-30,2007-09-26
1075,ZN0712,2007-09-27,2007-10-25
1076,ZN0801,2007-10-26,2007-11-27
1077,ZN0802,2007-11-28,2007-12-24
1078,ZN0803,2007-12-25,2008-01-21
1079,ZN0804,2008-01-22,2008-02-21
1080,ZN0805,2008-02-22,2008-03-20
1081,ZN0806,2008-03-21,2008-04-22
1082,ZN0807,2008-04-23,2008-05-28
1083,ZN0808,2008-05-29,2008-06-24
1084,ZN0809,2008-06-25,2008-07-21
1085,ZN0810,2008-07-22,2008-08-15
1086,ZN0811,2008-08-18,2008-09-18
1087,ZN0812,2008-09-19,2008-10-20
1088,ZN0901,2008-10-21,2008-11-24
1089,ZN0902,2008-11-25,2008-12-16
1090,ZN0903,2008-12-17,2009-01-16
1091,ZN0904,2009-01-19,2009-02-10
1092,ZN0905,2009-02-11,2009-03-06
1093,ZN0906,2009-03-09,2009-03-31
1094,ZN0907,2009-04-01,2009-04-28
1095,ZN0908,2009-04-29,2009-06-02
1096,ZN0909,2009-06-03,2009-07-01
1097,ZN0910,2009-07-02,2009-07-24
1098,ZN0911,2009-07-27,2009-08-25
1099,ZN0912,2009-08-26,2009-10-12
1100,ZN1001,2009-10-13,2009-11-13
1101,ZN1002,2009-11-16,2009-11-27
1102,ZN1003,2009-11-30,2009-12-28
1103,ZN1004,2009-12-29,2010-01-20
1104,ZN1005,2010-01-21,2010-02-25
1105,ZN1006,2010-02-26,2010-03-30
1106,ZN1007,2010-03-31,2010-05-05
1107,ZN1008,2010-05-06,2010-05-27
1108,ZN1009,2010-05-28,2010-06-29
1109,ZN1010,2010-06-30,2010-07-27
1110,ZN1011,2010-07-28,2010-08-16
1111,ZN1012,2010-08-17,2010-09-10
1112,ZN1101,2010-09-13,2010-10-22
1113,ZN1102,2010-10-25,2010-11-17
1114,ZN1103,2010-11-18,2010-12-31
1115,ZN1104,2011-01-04,2011-02-11
1116,ZN1105,2011-02-14,2011-03-17
1117,ZN1106,2011-03-18,2011-04-26
1118,ZN1107,2011-04-27,2011-05-26
1119,ZN1108,2011-05-27,2011-06-24
1120,ZN1109,2011-06-27,2011-07-19
1121,ZN1110,2011-07-20,2011-08-16
1122,ZN1111,2011-08-17,2011-09-21
1123,ZN1112,2011-09-22,2011-10-19
1124,ZN1201,2011-10-20,2011-11-18
1125,ZN1202,2011-11-21,2011-12-15
1126,ZN1203,2011-12-16,2012-01-16
1127,ZN1204,2012-01-17,2012-02-15
1128,ZN1205,2012-02-16,2012-03-08
1129,ZN1206,2012-03-09,2012-04-06
1130,ZN1207,2012-04-09,2012-05-08
1131,ZN1208,2012-05-09,2012-05-28
1132,ZN1209,2012-05-29,2012-06-25
1133,ZN1210,2012-06-26,2012-07-23
1134,ZN1211,2012-07-24,2012-08-17
1135,ZN1212,2012-08-20,2012-09-20
1136,ZN1301,2012-09-21,2012-11-05
1137,ZN1302,2012-11-06,2012-12-07
1138,ZN1303,2012-12-10,2013-01-08
1139,ZN1304,2013-01-09,2013-01-30
1140,ZN1305,2013-01-31,2013-03-06
1141,ZN1306,2013-03-07,2013-04-08
1142,ZN1307,2013-04-09,2013-05-03
1143,ZN1308,2013-05-06,2013-05-22
1144,ZN1309,2013-05-23,2013-06-21
1145,ZN1310,2013-06-24,2013-07-30
1146,ZN1311,2013-07-31,2013-08-20
1147,ZN1312,2013-08-21,2013-10-10
1148,ZN1401,2013-10-11,2013-11-15
1149,ZN1402,2013-11-18,2013-12-18
1150,ZN1403,2013-12-19,2014-01-16
1151,ZN1404,2014-01-17,2014-02-20
1152,ZN1405,2014-02-21,2014-03-19
1153,ZN1406,2014-03-20,2014-04-18
1154,ZN1407,2014-04-21,2014-05-28
1155,ZN1408,2014-05-29,2014-06-23
1156,ZN1409,2014-06-24,2014-07-23
1157,ZN1410,2014-07-24,2014-08-27
1158,ZN1411,2014-08-28,2014-09-24
1159,ZN1412,2014-09-25,2014-10-29
1160,ZN1501,2014-10-30,2014-12-01
1161,ZN1502,2014-12-02,2014-12-25
1162,ZN1503,2014-12-26,2015-01-27
1163,ZN1504,2015-01-28,2015-02-26
1164,ZN1505,2015-02-27,2015-03-24
1165,ZN1506,2015-03-25,2015-04-23
1166,ZN1507,2015-04-24,2015-05-26
1167,ZN1508,2015-05-27,2015-06-26
1168,ZN1509,2015-06-29,2015-07-29
1169,ZN1510,2015-07-30,2015-08-31
1170,ZN1511,2015-09-01,2015-09-28
1171,ZN1512,2015-09-29,2015-10-30
1172,ZN1601,2015-11-02,2015-11-26
1173,ZN1602,2015-11-27,2015-12-30
1174,ZN1603,2015-12-31,2016-02-02
1175,ZN1604,2016-02-03,2016-03-02
1176,ZN1605,2016-03-03,2016-03-29
1177,ZN1606,2016-03-30,2016-05-03
1178,ZN1607,2016-05-04,2016-06-01
1179,ZN1608,2016-06-02,2016-06-30
1180,ZN1609,2016-07-01,2016-07-29
1181,ZN1610,2016-08-01,2016-08-31
1182,ZN1611,2016-09-01,2016-10-10
1183,ZN1612,2016-10-11,2016-10-31
1184,ZN1701,2016-11-01,2016-11-30
1185,ZN1702,2016-12-01,2016-12-28
1186,ZN1703,2016-12-29,2017-02-13
1187,ZN1704,2017-02-14,2017-03-06
1188,ZN1705,2017-03-07,2017-04-07
1189,ZN1706,2017-04-10,2017-05-08
1190,ZN1707,2017-05-09,2017-06-07
1191,ZN1708,2017-06-08,2017-07-05
1192,ZN1709,2017-07-06,2017-08-07
1193,ZN1710,2017-08-08,2017-09-05
1194,ZN1711,2017-09-06,2017-10-11
1195,ZN1712,2017-10-12,2017-11-02
1196,ZN1801,2017-11-03,2017-12-05
1197,ZN1802,2017-12-06,2018-01-04
1198,ZN1803,2018-01-05,2018-02-06
1199,ZN1804,2018-02-07,2018-03-05
1200,ZN1805,2018-03-06,2018-04-03
1201,ZN1806,2018-04-04,2018-05-04
1202,ZN1807,2018-05-07,2018-06-08
1203,ZN1808,2018-06-11,2018-07-06
1204,ZN1809,2018-07-09,2018-08-07
1205,ZN1810,2018-08-08,2018-09-06
1206,ZN1811,2018-09-07,2018-10-19
1207,ZN1812,2018-10-22,2018-11-02
1208,ZN1901,2018-11-05,2018-12-03
1209,ZN1902,2018-12-04,2019-01-07
1210,ZN1903,2019-01-08,2019-02-18
1211,ZN1904,2019-02-19,2019-03-07
1212,ZN1905,2019-03-08,2019-04-11
1213,ZN1906,2019-04-12,2019-05-08
1214,ZN1907,2019-05-09,2019-06-11
1215,ZN1908,2019-06-12,2019-07-05
1216,ZN1909,2019-07-08,
1217,C0505,2005-01-04,2005-03-18
1218,C0507,2005-03-21,2005-05-10
1219,C0509,2005-05-11,2005-07-21
1220,C0511,2005-07-22,2005-07-28
1221,C0601,2005-07-29,2005-09-27
1222,C0605,2005-09-28,2005-11-16
1223,C0609,2005-11-17,2006-04-18
1224,C0701,2006-04-19,2006-05-19
1225,C0703,2006-05-22,2006-07-27
1226,C0705,2006-07-28,2007-01-17
1227,C0709,2007-01-18,2007-06-26
1228,C0801,2007-06-27,2007-08-14
1229,C0805,2007-08-15,2008-01-15
1230,C0809,2008-01-16,2008-04-14
1231,C0901,2008-04-15,2008-08-22
1232,C0905,2008-08-25,2009-02-16
1233,C0909,2009-02-17,2009-06-08
1234,C1001,2009-06-09,2009-08-12
1235,C1005,2009-08-13,2009-12-29
1236,C1009,2009-12-30,2010-06-23
1237,C1101,2010-06-24,2010-08-27
1238,C1105,2010-08-30,2010-11-18
1239,C1109,2010-11-19,2011-05-09
1240,C1201,2011-05-10,2011-08-09
1241,C1205,2011-08-10,2011-12-09
1242,C1209,2011-12-12,2012-07-10
1243,C1301,2012-07-11,2012-10-19
1244,C1305,2012-10-22,2013-02-05
1245,C1309,2013-02-06,2013-07-08
1246,C1401,2013-07-09,2013-10-11
1247,C1405,2013-10-14,2014-03-27
1248,C1409,2014-03-28,2014-07-15
1249,C1501,2014-07-16,2014-10-14
1250,C1505,2014-10-15,2015-01-27
1251,C1509,2015-01-28,2015-06-24
1252,C1601,2015-06-25,2015-09-08
1253,C1605,2015-09-09,2016-02-22
1254,C1609,2016-02-23,2016-03-21
1255,C1701,2016-03-22,2016-11-14
1256,C1705,2016-11-15,2017-03-09
1257,C1709,2017-03-10,2017-08-02
1258,C1801,2017-08-03,2017-12-05
1259,C1805,2017-12-06,2018-03-15
1260,C1809,2018-03-16,2018-07-09
1261,C1901,2018-07-10,2018-11-14
1262,C1905,2018-11-15,2019-03-26
1263,C1909,2019-03-27,
1264,BU1402,2013-10-10,2014-02-14
1265,BU1406,2014-02-17,2014-05-20
1266,BU1409,2014-05-21,2014-09-15
1267,BU1412,2014-09-16,2014-12-11
1268,BU1506,2014-12-12,2015-06-02
1269,BU1509,2015-06-03,2015-08-25
1270,BU1512,2015-08-26,2015-11-26
1271,BU1601,2015-11-27,2015-12-22
1272,BU1606,2015-12-23,2016-04-11
1273,BU1609,2016-04-12,2016-08-02
1274,BU1612,2016-08-03,2016-11-11
1275,BU1706,2016-11-14,2017-04-25
1276,BU1709,2017-04-26,2017-08-02
1277,BU1712,2017-08-03,2017-11-21
1278,BU1806,2017-11-22,2018-05-03
1279,BU1812,2018-05-04,2018-11-22
1280,BU1906,2018-11-23,2019-05-06
1281,BU1912,2019-05-07,
1282,SR0605,2006-01-09,2006-02-21
1283,SR0609,2006-02-22,2006-04-03
1284,SR0701,2006-04-04,2006-05-11
1285,SR0703,2006-05-12,2006-10-24
1286,SR0705,2006-10-25,2007-03-21
1287,SR0707,2007-03-22,2007-04-24
1288,SR0709,2007-04-25,2007-05-31
1289,SR0801,2007-06-01,2007-08-20
1290,SR0805,2007-08-21,2007-12-06
1291,SR0807,2007-12-07,2008-02-21
1292,SR0809,2008-02-22,2008-04-16
1293,SR0901,2008-04-17,2008-09-16
1294,SR0905,2008-09-17,2009-01-23
1295,SR0909,2009-02-02,2009-05-12
1296,SR1001,2009-05-13,2009-08-03
1297,SR1005,2009-08-04,2009-11-19
1298,SR1009,2009-11-20,2010-03-19
1299,SR1101,2010-03-22,2010-08-18
1300,SR1105,2010-08-19,2010-11-01
1301,SR1109,2010-11-02,2011-06-14
1302,SR1201,2011-06-15,2011-09-15
1303,SR1205,2011-09-16,2011-12-27
1304,SR1209,2011-12-28,2012-05-23
1305,SR1301,2012-05-24,2012-10-29
1306,SR1305,2012-10-30,2013-01-23
1307,SR1309,2013-01-24,2013-06-27
1308,SR1401,2013-06-28,2013-11-08
1309,SR1405,2013-11-11,2014-02-24
1310,SR1409,2014-02-25,2014-06-18
1311,SR1501,2014-06-19,2014-11-10
1312,SR1505,2014-11-11,2015-02-16
1313,SR1509,2015-02-17,2015-06-23
1314,SR1601,2015-06-24,2015-11-17
1315,SR1605,2015-11-18,2016-03-01
1316,SR1609,2016-03-02,2016-07-20
1317,SR1701,2016-07-21,2016-12-07
1318,SR1705,2016-12-08,2017-03-31
1319,SR1709,2017-04-05,2017-07-17
1320,SR1801,2017-07-18,2017-12-14
1321,SR1805,2017-12-15,2018-03-30
1322,SR1809,2018-04-02,2018-07-30
1323,SR1901,2018-07-31,2018-11-12
1324,SR1905,2018-11-13,2019-03-19
