,symbol,start_date,end_date
153,I1809,2018-04-09,2018-08-07
154,I1901,2018-08-08,2018-11-30
155,I1905,2018-12-03,2019-04-08
156,I1909,2019-04-09,
157,TA0705,2006-12-19,2007-04-06
158,TA0706,2007-04-09,2007-05-15
159,TA0707,2007-05-16,2007-07-13
160,TA0709,2007-07-16,2007-09-04
161,TA0712,2007-09-05,2007-11-02
162,TA0801,2007-11-05,2007-12-12
163,TA0803,2007-12-13,2008-02-19
164,TA0805,2008-02-20,2008-05-07
165,TA0807,2008-05-08,2008-06-03
166,TA0809,2008-06-04,2008-09-12
167,TA0811,2008-09-16,2008-10-16
168,TA0901,2008-10-17,2008-12-08
169,TA0905,2008-12-09,2009-04-08
170,TA0909,2009-04-09,2009-08-12
171,TA0910,2009-08-13,2009-09-07
172,TA0911,2009-09-08,2009-10-09
173,TA0912,2009-10-12,2009-10-27
174,TA1001,2009-10-28,2009-12-03
175,TA1002,2009-12-04,2009-12-30
176,TA1003,2009-12-31,2010-01-21
177,TA1005,2010-01-22,2010-03-29
178,TA1009,2010-03-30,2010-07-29
179,TA1101,2010-07-30,2010-11-02
180,TA1105,2010-11-03,2011-03-24
181,TA1109,2011-03-25,2011-07-05
182,TA1201,2011-07-06,2011-11-22
183,TA1205,2011-11-23,2012-03-15
184,TA1209,2012-03-16,2012-07-11
185,TA1301,2012-07-12,2012-11-06
186,TA1305,2012-11-07,2013-02-22
187,TA1309,2013-02-25,2013-07-10
188,TA1401,2013-07-11,2013-12-02
189,TA1405,2013-12-03,2014-03-11
190,TA1409,2014-03-12,2014-08-06
191,TA1501,2014-08-07,2014-11-25
192,TA1505,2014-11-26,2015-03-31
193,TA1509,2015-04-01,2015-08-06
194,TA1601,2015-08-07,2015-11-24
195,TA1605,2015-11-25,2016-03-30
196,TA1609,2016-03-31,2016-08-05
197,TA1701,2016-08-08,2016-11-15
198,TA1705,2016-11-16,2017-04-07
199,TA1709,2017-04-10,2017-08-07
200,TA1801,2017-08-08,2017-11-23
201,TA1805,2017-11-24,2018-03-27
202,TA1809,2018-03-28,2018-08-07
203,TA1901,2018-08-08,2018-11-30
204,TA1905,2018-12-03,2019-04-09
205,TA1909,2019-04-10,
206,WR0909,2009-03-30,2009-07-30
207,WR0910,2009-07-31,2009-08-14
208,WR0911,2009-08-17,2009-10-12
209,WR0912,2009-10-13,2009-10-20
210,WR1001,2009-10-21,2009-11-11
211,WR1002,2009-11-12,2009-12-22
212,WR1005,2009-12-23,2010-05-17
213,WR1010,2010-05-18,2010-09-30
214,WR1108,2010-10-08,2011-01-24
215,WR1111,2011-01-25,2011-08-02
216,WR1205,2011-08-03,2011-08-29
217,WR1206,2011-08-30,2012-06-01
218,WR1210,2012-06-04,2012-06-28
219,WR1305,2012-06-29,2012-11-16
220,WR1308,2012-11-19,2013-02-25
221,WR1310,2013-02-26,2013-05-20
222,WR1402,2013-05-21,2013-05-24
223,WR1403,2013-05-27,2013-08-30
224,WR1404,2013-09-02,2013-11-20
225,WR1409,2013-11-21,2014-07-09
226,WR1504,2014-07-10,2015-04-01
227,WR1510,2015-04-02,2015-09-29
228,WR1604,2015-09-30,2016-01-27
229,WR1701,2016-01-28,2016-08-24
230,WR1702,2016-08-25,2016-12-26
231,WR1712,2016-12-27,2017-12-15
232,WR1807,2017-12-18,2018-07-16
233,WR1812,2018-07-17,2018-08-31
234,WR1902,2018-09-03,2018-10-16
235,WR1905,2018-10-17,2019-05-13
236,WR1907,2019-05-14,
237,CF0504,2005-01-04,2005-01-26
238,CF0505,2005-01-27,2005-03-07
239,CF0506,2005-03-08,2005-04-06
240,CF0507,2005-04-07,2005-05-19
241,CF0509,2005-05-20,2005-07-06
242,CF0510,2005-07-07,2005-08-31
243,CF0511,2005-09-01,2005-09-14
244,CF0601,2005-09-15,2005-10-19
245,CF0603,2005-10-20,2005-12-19
246,CF0604,2005-12-20,2006-01-12
247,CF0605,2006-01-13,2006-03-24
248,CF0606,2006-03-27,2006-04-26
249,CF0607,2006-04-27,2006-06-09
250,CF0608,2006-06-12,2006-06-29
251,CF0609,2006-06-30,2006-08-02
252,CF0611,2006-08-03,2006-09-20
253,CF0612,2006-09-21,2006-09-27
254,CF0701,2006-09-28,2006-11-08
255,CF0705,2006-11-09,2007-03-22
256,CF0707,2007-03-23,2007-06-06
257,CF0709,2007-06-07,2007-07-09
258,CF0801,2007-07-10,2007-09-19
259,CF0805,2007-09-20,2008-02-19
260,CF0807,2008-02-20,2008-07-04
261,CF0901,2008-07-07,2008-11-17
262,CF0905,2008-11-18,2009-03-25
263,CF0907,2009-03-26,2009-05-27
264,CF0909,2009-06-01,2009-07-15
265,CF1001,2009-07-16,2009-11-02
266,CF1005,2009-11-03,2010-01-12
267,CF1009,2010-01-13,2010-04-29
268,CF1101,2010-04-30,2010-09-06
269,CF1105,2010-09-07,2010-11-26
270,CF1109,2010-11-29,2011-06-14
271,CF1201,2011-06-15,2011-08-15
272,CF1205,2011-08-16,2012-02-08
273,CF1209,2012-02-09,2012-06-04
274,CF1301,2012-06-05,2012-11-06
275,CF1305,2012-11-07,2013-01-30
276,CF1309,2013-01-31,2013-06-14
277,CF1401,2013-06-17,2013-10-14
278,CF1405,2013-10-15,2014-03-18
279,CF1501,2014-03-19,2014-11-12
280,CF1505,2014-11-13,2015-03-20
281,CF1509,2015-03-23,2015-07-02
282,CF1601,2015-07-03,2015-10-22
283,CF1605,2015-10-23,2016-02-03
284,CF1609,2016-02-04,2016-06-21
285,CF1701,2016-06-22,2016-11-22
286,CF1705,2016-11-23,2017-03-31
287,CF1709,2017-04-05,2017-08-03
288,CF1801,2017-08-04,2017-11-28
289,CF1805,2017-11-29,2018-03-26
290,CF1809,2018-03-27,2018-05-14
291,CF1901,2018-05-15,2018-11-21
292,CF1905,2018-11-22,2019-04-03
293,CF1909,2019-04-04,
294,CJ1912,2019-05-06,
295,TF1312,2013-09-09,2013-11-28
296,TF1403,2013-11-29,2014-02-21
297,TF1406,2014-02-24,2014-05-15
298,TF1409,2014-05-16,2014-08-14
299,TF1412,2014-08-15,2014-11-05
300,TF1503,2014-11-06,2015-02-04
301,TF1506,2015-02-05,2015-05-15
302,TF1509,2015-05-18,2015-08-18
303,TF1512,2015-08-19,2015-11-18
304,TF1603,2015-11-19,2016-02-05
305,TF1606,2016-02-15,2016-04-28
306,TF1609,2016-04-29,2016-08-11
307,TF1612,2016-08-12,2016-11-10
308,TF1703,2016-11-11,2017-01-24
309,TF1706,2017-01-25,2017-05-11
310,TF1709,2017-05-12,2017-08-10
311,TF1712,2017-08-11,2017-11-10
312,TF1803,2017-11-13,2018-02-12
313,TF1806,2018-02-13,2018-05-16
314,TF1809,2018-05-17,2018-08-14
315,TF1812,2018-08-15,2018-11-19
316,TF1903,2018-11-20,2019-02-20
317,TF1906,2019-02-21,2019-05-21
318,TF1909,2019-05-22,
319,V0909,2009-05-26,2009-07-28
320,V0911,2009-07-29,2009-10-13
321,V1001,2009-10-14,2009-12-02
322,V1003,2009-12-03,2010-01-18
323,V1005,2010-01-19,2010-03-31
324,V1009,2010-04-01,2010-08-04
